island	sitename	depthname	quad	species	colony	depth	allfates	fate_prior	fate_t	year	asize	psize	yearNext	asizeNext	psizeNext	survIPM	fateIPM	fec1	fec2	fec3	offspringNext	spcover	allcover	fuseLGname	fuseLGsize	twoyear	
Ma	HonN	03m	2	PL	21	03	S		S	1999	4.080756	13.975865	2000	3.268263	14.424081	1	growth	0				335.158984	454.612746			0	
Ma	HonN	03m	2	PL	22	03	D		D	1999	2.333762	6.787677	2000			0	dead					335.158984	454.612746			0	
Ma	HonN	03m	2	MC	01	03	U		U	1999	1.482042	7.374761	2000	3.580104	10.779301	1	fuseLG	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	02	03	U		U	1999	1.229187	5.496800	2000	3.580104	10.779301	0	fuseSM	0				44.688696	454.612746	01	1.482042	0	
Ma	HonN	03m	2	MC	03	03	S		S	1999	0.774291	5.396672	2000	0.292006	2.506426	1	growth	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	04	03	D		D	1999	0.404083	3.155454	2000			0	dead					44.688696	454.612746			0	
Ma	HonN	03m	2	MC	05	03	D		D	1999	0.473043	4.198932	2000			0	dead					44.688696	454.612746			0	
Ma	HonN	03m	2	MC	06	03	S		S	1999	5.057089	10.935371	2000	3.657237	10.698756	1	growth	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	07	03	D		D	1999	0.411342	2.858566	2000			0	dead					44.688696	454.612746			0	
Ma	HonN	03m	2	MC	08	03	D		D	1999	0.365369	2.424295	2000			0	dead					44.688696	454.612746			0	
Ma	HonN	03m	2	MC	09	03	D		D	1999	0.280681	2.102088	2000			0	dead					44.688696	454.612746			0	
Ma	HonN	03m	2	MC	10	03	U		U	1999	3.278639	11.274758	2000	12.386564	31.490704	0	fuseSM	0				44.688696	454.612746	11	6.756900	0	
Ma	HonN	03m	2	MC	11	03	U		U	1999	6.756900	22.117292	2000	12.386564	31.490704	1	fuseLG	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	12	03	S		S	1999	2.808015	9.875313	2000	3.047881	7.714827	1	growth	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	13	03	D		D	1999	1.688922	5.781753	2000			0	dead					44.688696	454.612746			0	
Ma	HonN	03m	2	MC	14	03	S		S	1999	8.186919	23.777818	2000	6.479227	17.801346	1	growth	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	15	03	S		S	1999	1.854669	5.931071	2000	0.628088	4.128669	1	growth	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	16a	03	I		I	1999	2.808015	9.590361	2000	0.795579	4.573954		fissSM		1	0.795579	clonal	44.688696	454.612746			0	
Ma	HonN	03m	2	MC	16	03	I		I	1999	2.808015	9.590361	2000	0.769133	4.089779	1	fissLG	1	1	0.795579		44.688696	454.612746			0	
Ma	HonN	03m	2	MC	17	03	S		S	1999	4.297316	12.874758	2000	3.116200	9.170403	1	growth	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MC	18	03	S		S	1999	2.532174	9.074589	2000	5.296878	15.211325	1	growth	0				44.688696	454.612746			0	
Ma	HonN	03m	2	MP	01	03	D		D	1999	2.841890	10.657710	2000			0	dead					2.84189	454.612746			0	
Ma	HonN	03m	2	PV	01	03	S		S	1999	45.720681	31.382850	2000	10.237840	20.599164	1	growth	0				45.720681	454.612746			0	
Ma	HonN	03m	3	PL	01	03	S		S	1999	5.849166	11.343391	2000	6.524146	11.164496	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	02	03	S		S	1999	3.909468	8.724227	2000	2.045289	6.215064	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	03	03	S		S	1999	4.210197	8.753552	2000	5.641101	9.628062	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	04	03	S		S	1999	8.543191	12.230862	2000	8.730460	12.414141	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	05	03	S		S	1999	1.160310	5.493662	2000	2.310202	8.487585	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	06	03	S		S	1999	22.062182	28.363203	2000	23.788978	24.993847	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	07	03	D		D	1999	0.675386	3.477310	2000			0	dead					227.721514	237.230794			0	
Ma	HonN	03m	3	PL	08	03	S		S	1999	8.747435	13.318271	2000	4.982712	8.944438	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	09	03	S		S	1999	14.280836	24.108911	2000	20.629494	22.220133	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	10	03	S		S	1999	2.918318	7.382652	2000	1.553121	6.188833	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	11	03	S		S	1999	7.283891	15.130823	2000	2.995861	7.170989	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	12	03	S		S	1999	32.343332	34.685077	2000	29.476828	34.308268	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	13	03	S		S	1999	8.415381	17.559249	2000	3.428293	8.506884	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	14	03	S		S	1999	12.309813	16.198106	2000	13.458648	16.753521	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	15a	03	I		I	1999	29.072911	29.588648	2000	1.925818	5.949696		fissSM		1	1.925818	clonal	227.721514	237.230794			0	
Ma	HonN	03m	3	PL	15	03	I		I	1999	29.072911	29.588648	2000	15.129941	16.790618	1	fissLG	1	1	1.925818		227.721514	237.230794			0	
Ma	HonN	03m	3	PL	16	03	D		D	1999	6.771399	12.372150	2000			0	dead					227.721514	237.230794			0	
Ma	HonN	03m	3	PL	17	03	U		U	1999	3.265408	13.085146	2000	7.179937	22.629645	1	fuseLG	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	18	03	U		U	1999	1.258047	6.091138	2000	7.179937	22.629645	0	fuseSM	0				227.721514	237.230794	17	3.265408	0	
Ma	HonN	03m	3	PL	19	03	S		S	1999	2.138930	9.445812	2000	3.321808	9.863887	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	20	03	D		D	1999	6.715013	17.217108	2000			0	dead					227.721514	237.230794			0	
Ma	HonN	03m	3	PL	21	03	D		D	1999	0.937270	3.991843	2000			0	dead					227.721514	237.230794			0	
Ma	HonN	03m	3	PL	22	03	S		S	1999	7.470593	13.100850	2000	6.972161	11.972965	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	23	03	S		S	1999	13.926228	24.060629	2000	3.834754	10.073171	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	24	03	D		D	1999	4.395646	15.778664	2000			0	dead					227.721514	237.230794			0	
Ma	HonN	03m	3	PL	25	03	S		S	1999	0.322030	2.185796	2000	0.560993	2.766470	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	26	03	S		S	1999	2.751664	6.937137	2000	4.072397	8.445366	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	27	03	S		S	1999	2.672723	6.528063	2000	2.734843	6.870646	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	28	03	S		S	1999	2.819328	8.337667	2000	3.176366	8.626607	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	29	03	D		D	1999	0.976114	3.884911	2000			0	dead					227.721514	237.230794			0	
Ma	HonN	03m	3	PL	30	03	D		D	1999	0.610228	3.116518	2000			0	dead					227.721514	237.230794			0	
Ma	HonN	03m	3	PL	31	03	S		S	1999	0.875871	3.907121	2000	0.554500	3.707029	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	32	03	S		S	1999	0.646566	3.449764	2000	2.349160	7.760242	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	33	03	S		S	1999	0.179184	1.633350	2000	0.161026	1.548489	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	34	03	S		S	1999	0.265643	2.066718	2000	0.911614	3.828253	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	35	03	S		S	1999	6.941812	11.248606	2000	13.478127	15.281658	1	growth	0				227.721514	237.230794			0	
Ma	HonN	03m	3	PL	36	03	R		R	1999			2000	1.071342	4.757946		recruit				sexual	227.721514	237.230794			0	
Ma	HonN	03m	3	PL	37	03	R		R	1999			2000	0.610340	3.884338		recruit				sexual	227.721514	237.230794			0	
Ma	HonN	03m	3	MC	01	03	S		S	1999	7.077140	20.108784	2000	3.912669	10.918426	1	growth	0				9.50928	237.230794			0	
Ma	HonN	03m	3	MC	02	03	S		S	1999	1.047537	4.323310	2000	2.532262	8.325953	1	growth	0				9.50928	237.230794			0	
Ma	HonN	03m	3	MC	05	03	R		R	1999			2000	0.471390	3.162117		recruit				sexual	9.50928	237.230794			0	
Ma	HonN	03m	3	MC	06	03	R		R	1999			2000	1.427157	6.246729		recruit				sexual	9.50928	237.230794			0	
Ma	HonN	03m	3	MC	03	03	S		S	1999	0.645313	4.621895	2000	1.705056	8.974602	1	growth	0				9.50928	237.230794			0	
Ma	HonN	03m	3	MC	04	03	D		D	1999	0.739290	4.162760	2000			0	dead					9.50928	237.230794			0	
Ma	HonN	03m	4	MC	01	03	S		S	1999	8.577925	13.353634	2000	13.518792	18.762591	1	growth	0				40.977392	185.229351			0	
Ma	HonN	03m	4	MC	02	03	S		S	1999	4.931855	11.643716	2000	5.437099	12.520949	1	growth	0				40.977392	185.229351			0	
Ma	HonN	03m	4	MC	03	03	U		U	1999	0.309583	2.413411	2000	16.526349	29.768737	0	fuseSM	0				40.977392	185.229351	04	18.024716	0	
Ma	HonN	03m	4	MC	04a	03	I		I	1999	18.024716	42.354191	2000	1.944893	6.766091		fissSM		1	1.944893	clonal	40.977392	185.229351			0	
Ma	HonN	03m	4	MC	04	03	M		M	1999	18.024716	42.354191	2000	16.526349	29.768737	1	fissLG	1	1	1.944893		40.977392	185.229351			0	
Ma	HonN	03m	4	MC	05	03	S		S	1999	0.941176	4.885604	2000	0.840269	3.957369	1	growth	0				40.977392	185.229351			0	
Ma	HonN	03m	4	MC	06	03	S		S	1999	0.369465	2.857553	2000	0.564376	3.448637	1	growth	0				40.977392	185.229351			0	
Ma	HonN	03m	4	MC	07	03	S		S	1999	1.430407	6.935035	2000	1.549411	8.502337	1	growth	0				40.977392	185.229351			0	
Ma	HonN	03m	4	MC	08	03	R		R	1999			2000	2.494583	7.020318		recruit				sexual	40.977392	185.229351			0	
Ma	HonN	03m	4	MC	11	03	D		D	1999	3.808771	11.725565	2000			0	dead					40.977392	185.229351			0	
Ma	HonN	03m	4	MC	12	03	S		S	1999	1.717393	6.795803	2000	0.395483	3.015796	1	growth	0				40.977392	185.229351			0	
Ma	HonN	03m	4	MC	13	03	R		R	1999			2000	0.921044	4.051954		recruit				sexual	40.977392	185.229351			0	
Ma	HonN	03m	4	MF	01	03	S		S	1999	3.208813	11.946936	2000	0.722779	3.952486	1	growth	0				13.561753	185.229351			0	
Ma	HonN	03m	4	MF	02	03	S		S	1999	0.153661	1.683761	2000	0.208756	1.879891	1	growth	0				13.561753	185.229351			0	
Ma	HonN	03m	4	MF	03	03	S		S	1999	2.553492	12.492907	2000	0.550738	3.254305	1	growth	0				13.561753	185.229351			0	
Ma	HonN	03m	4	MF	04	03	D		D	1999	3.002048	9.228905	2000			0	dead					13.561753	185.229351			0	
Ma	HonN	03m	4	MF	05	03	S		S	1999	1.877833	6.667816	2000	1.862020	6.344364	1	growth	0				13.561753	185.229351			0	
Ma	HonN	03m	4	MF	06	03	S		S	1999	2.765906	8.056512	2000	7.197364	12.458079	1	growth	0				13.561753	185.229351			0	
Ma	HonN	03m	4	MP	01	03	U		U	1999	2.264247	12.863935	2000	9.897556	19.657011	1	fuseLG	0				3.287903	185.229351			0	
Ma	HonN	03m	4	MP	02	03	U		U	1999	0.816891	4.307009	2000	9.897556	19.657011	0	fuseSM	0				3.287903	185.229351	01	2.264247	0	
Ma	HonN	03m	4	MP	03	03	U		U	1999	0.206765	1.752677	2000	9.897556	19.657011	0	fuseSM	0				3.287903	185.229351	01	2.264247	0	
