"","island","sitename","depthname","quad","species","colony","depth","allfates","fate_prior","fate_t","year","asize","psize","yearNext","asizeNext","psizeNext","survIPM","fateIPM","fec1","fec2","fec3","offspringNext","spcover","allcover","fuseLGname","fuseLGsize","twoyear","unknown","size","sizeNext","surv","rec1","rec2","rec3","stage","stageNext"
"33","Ma","HonN","03m",1,"PC","19b",3,"I",NA,"I",1999,7.985775,16.869673,2000,0.583829,2.931455,NA,"fissSM",NA,2,2.361475,"clonal",136.512523,648.26974,NA,NA,0,2,2.07766183393909,-0.538147147249785,NA,NA,NA,NA,"continuous","continuous"
"34","Ma","HonN","03m",1,"PC","19",3,"I",NA,"I",1999,7.985775,16.869673,2000,5.954816,13.318661,1,"fissLG",1,2,2.361475,NA,136.512523,648.26974,NA,NA,0,NA,2.07766183393909,1.7842003039252,1,1,1,1,"continuous","continuous"
"35","Ma","HonN","03m",1,"PC","20",3,"U",NA,"U",1999,2.770309,9.469333,2000,13.263971,19.098496,1,"fuseLG",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,1.01895886632432,2.58505141202143,1,1,1,1,"dead","continuous"
"36","Ma","HonN","03m",1,"PC","21",3,"U",NA,"U",1999,0.72726,3.566285,2000,13.263971,19.098496,0,"fuseSM",0,NA,NA,NA,136.512523,648.26974,"20",2.770309,0,NA,-0.318471231271661,2.58505141202143,0,NA,NA,NA,"continuous","dead"
"37","Ma","HonN","03m",1,"PC","22",3,"S",NA,"S",1999,1.044827,4.69196,2000,1.252081,4.650394,1,"growth",0,NA,NA,NA,136.512523,648.26974,NA,NA,0,NA,0.0438513214725864,0.224806967070802,1,1,1,1,"continuous","continuous"
"38","Ma","HonN","03m",1,"PC","23",3,"R",NA,"R",1999,NA,NA,2000,3.370987,8.249869,NA,"recruit",NA,NA,NA,"sexual",136.512523,648.26974,NA,NA,0,NA,NA,1.21520557982206,NA,NA,NA,NA,"seedbank","continuous"
"39","Ma","HonN","03m",1,"PC","24",3,"R",NA,"R",1999,NA,NA,2000,2.200951,7.743446,NA,"recruit",NA,NA,NA,"sexual",136.512523,648.26974,NA,NA,0,NA,NA,0.788889539688604,NA,NA,NA,NA,"seedbank","continuous"
"40","Ma","HonN","03m",1,"PL","1",3,"S",NA,"S",1999,36.043286,36.683023,2000,47.678954,35.82934,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,3.5847206050544,3.86449008459699,1,1,1,1,"continuous","continuous"
"41","Ma","HonN","03m",1,"PL","2",3,"S",NA,"S",1999,22.224254,22.608513,2000,33.946492,27.320045,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,3.10118421503235,3.5247855202418,1,1,1,1,"continuous","continuous"
"42","Ma","HonN","03m",1,"PL","3",3,"S",NA,"S",1999,8.458331,14.430718,2000,17.914388,22.52162,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,2.13515187283173,2.88560418885607,1,1,1,1,"continuous","continuous"
"43","Ma","HonN","03m",1,"PL","4",3,"S",NA,"S",1999,148.991922,69.520127,2000,183.67063,86.303231,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,5.00389208971068,5.21314409919935,1,1,1,1,"continuous","continuous"
"44","Ma","HonN","03m",1,"PL","5",3,"S",NA,"S",1999,15.301732,17.466945,2000,18.694411,19.80226,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,2.72796602460584,2.92822460218256,1,1,1,1,"continuous","continuous"
"45","Ma","HonN","03m",1,"PL","6",3,"S",NA,"S",1999,24.519839,35.773077,2000,39.507729,41.313955,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,3.19948254497794,3.6764963236521,1,1,1,1,"continuous","continuous"
"46","Ma","HonN","03m",1,"PL","7",3,"S",NA,"S",1999,8.908127,14.545058,2000,3.005945,7.406985,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,2.18696400614127,1.10059199442354,1,1,1,1,"continuous","continuous"
"47","Ma","HonN","03m",1,"PL","8",3,"S",NA,"S",1999,5.58614,12.931488,2000,2.617122,8.335866,1,"growth",0,NA,NA,NA,270.033631,648.26974,NA,NA,0,NA,1.72028852986556,0.9620752407266,1,1,1,1,"continuous","continuous"
"48","Ma","HonN","03m",1,"PL","9",3,"R",NA,"R",1999,NA,NA,2000,3.831153,8.511869,NA,"recruit",NA,NA,NA,"sexual",270.033631,648.26974,NA,NA,0,NA,NA,1.34316580227421,NA,NA,NA,NA,"seedbank","continuous"
"49","Ma","HonN","03m",1,"PL","10",3,"R",NA,"R",1999,NA,NA,2000,2.642093,7.046859,NA,"recruit",NA,NA,NA,"sexual",270.033631,648.26974,NA,NA,0,NA,NA,0.971571406086209,NA,NA,NA,NA,"seedbank","continuous"
"50","Ma","HonN","03m",1,"PL","11",3,"R",NA,"R",1999,NA,NA,2000,0.865636,4.115701,NA,"recruit",NA,NA,NA,"sexual",270.033631,648.26974,NA,NA,0,NA,NA,-0.144290782105947,NA,NA,NA,NA,"seedbank","continuous"
"51","Ma","HonN","03m",1,"PV","1",3,"S",NA,"S",1999,2.334603,10.12914,2000,0.883472,4.796692,1,"growth",0,NA,NA,NA,4.820945,648.26974,NA,NA,0,NA,0.847841855252305,-0.123895679858152,1,1,1,1,"continuous","continuous"
"52","Ma","HonN","03m",1,"PV","2",3,"S",NA,"S",1999,2.486342,10.384526,2000,0.707491,4.263435,1,"growth",0,NA,NA,NA,4.820945,648.26974,NA,NA,0,NA,0.910812554020788,-0.346030370393712,1,1,1,1,"continuous","continuous"
"53","Ma","HonN","03m",2,"PC","1",3,"S",NA,"S",1999,7.093233,22.336175,2000,14.852637,20.113321,1,"growth",0,NA,NA,NA,26.202495,454.612746,NA,NA,0,NA,1.95914123096845,2.69817742524158,1,1,1,1,"continuous","continuous"
"54","Ma","HonN","03m",2,"PC","2",3,"U",NA,"U",1999,2.645898,6.741683,2000,8.542002,15.547707,0,"fuseSM",0,NA,NA,NA,26.202495,454.612746,"3",2.936257,0,NA,0.973010516196907,2.14499540655645,0,NA,NA,NA,"continuous","dead"
"55","Ma","HonN","03m",2,"PC","3",3,"U",NA,"U",1999,2.936257,6.769049,2000,8.542002,15.547707,1,"fuseLG",0,NA,NA,NA,26.202495,454.612746,NA,NA,0,NA,1.07713564098133,2.14499540655645,1,1,1,1,"dead","continuous"
"56","Ma","HonN","03m",2,"PC","4",3,"S",NA,"S",1999,3.62465,8.540191,2000,0.174102,1.607802,1,"growth",0,NA,NA,NA,26.202495,454.612746,NA,NA,0,NA,1.28775773192108,-1.7481139446232,1,1,1,1,"continuous","continuous"
"57","Ma","HonN","03m",2,"PC","5",3,"S",NA,"S",1999,9.902457,19.438607,2000,4.648956,9.591239,1,"growth",0,NA,NA,NA,26.202495,454.612746,NA,NA,0,NA,2.29278290816671,1.53664267826271,1,1,1,1,"continuous","continuous"
"58","Ma","HonN","03m",2,"PL","1",3,"S",NA,"S",1999,3.619811,7.873653,2000,6.673163,15.182157,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.28642181452994,1.89809396041769,1,1,1,1,"continuous","continuous"
"59","Ma","HonN","03m",2,"PL","2",3,"S",NA,"S",1999,1.252174,5.712188,2000,2.329436,9.437632,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,0.224881240657193,0.845626178190501,1,1,1,1,"continuous","continuous"
"60","Ma","HonN","03m",2,"PL","3",3,"S",NA,"S",1999,31.866919,46.273499,2000,32.460047,41.845834,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,3.46156844976794,3.48001001002132,1,1,1,1,"continuous","continuous"
"61","Ma","HonN","03m",2,"PL","4",3,"S",NA,"S",1999,3.496408,11.159498,2000,5.136,9.128177,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.2517361557893,1.63627456638766,1,1,1,1,"continuous","continuous"
"62","Ma","HonN","03m",2,"PL","5",3,"S",NA,"S",1999,16.300038,23.884638,2000,15.926999,21.743904,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,2.79116743909834,2.76801571948318,1,1,1,1,"continuous","continuous"
"63","Ma","HonN","03m",2,"PL","6",3,"S",NA,"S",1999,11.351834,13.609412,2000,12.413009,15.287151,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,2.4293793167769,2.51874503557987,1,1,1,1,"continuous","continuous"
"64","Ma","HonN","03m",2,"PL","7",3,"S",NA,"S",1999,35.90775,46.272899,2000,25.624903,45.037274,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,3.58095314963338,3.24356465208555,1,1,1,1,"continuous","continuous"
"65","Ma","HonN","03m",2,"PL","8",3,"S",NA,"S",1999,3.346389,7.701912,2000,4.107918,9.162063,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.20788185402594,1.41291633081548,1,1,1,1,"continuous","continuous"
"66","Ma","HonN","03m",2,"PL","9",3,"S",NA,"S",1999,4.810284,13.402164,2000,8.533186,20.78723,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.57075612603371,2.14396279704335,1,1,1,1,"continuous","continuous"
"67","Ma","HonN","03m",2,"PL","10",3,"D",NA,"D",1999,1.338072,5.676681,2000,NA,NA,0,"dead",NA,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,0.291229771917434,NA,0,0,0,NA,"continuous","dead"
"68","Ma","HonN","03m",2,"PL","11",3,"S",NA,"S",1999,59.970057,50.335348,2000,54.710904,39.087764,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,4.0938453876552,4.0020630314267,1,1,1,1,"continuous","continuous"
"69","Ma","HonN","03m",2,"PL","12a",3,"I",NA,"I",1999,59.705104,52.036025,2000,20.880081,21.392508,NA,"fissSM",NA,2,23.306486,"clonal",335.158984,454.612746,NA,NA,0,2,4.08941751088149,3.03879564231726,NA,NA,NA,NA,"continuous","continuous"
"70","Ma","HonN","03m",2,"PL","12b",3,"I",NA,"I",1999,59.705104,52.036025,2000,2.426405,6.323972,NA,"fissSM",NA,2,23.306486,"clonal",335.158984,454.612746,NA,NA,0,2,4.08941751088149,0.886410738056118,NA,NA,NA,NA,"continuous","continuous"
