Site,Depth (m),Taxon,year,cover
Honolua North,3,Montipora patula,2003,0.453333333
Honolua North,3,Pocillopora meandrina,2003,0.426666667
Honolua North,3,Porites compressa,2003,0.08
Honolua North,3,Porites lobata,2003,5.504761905
Honolua South,3,Montipora capitata,2003,2.026666667
Honolua South,3,Montipora flabellata,2003,11.44
Honolua South,3,Montipora patula,2003,1.866666667
Honolua South,3,Pocillopora meandrina,2003,2
Honolua South,3,Porites compressa,2003,0
Honolua South,3,Porites lobata,2003,3.653333333
Kahekili,3,Montipora capitata,2003,3.013333333
Kahekili,3,Montipora flabellata,2003,0
Kahekili,3,Montipora patula,2003,3.106666667
Kahekili,3,Pocillopora meandrina,2003,1.16
Kahekili,3,Porites compressa,2003,3.746666667
Kahekili,3,Porites lobata,2003,20.34666667
Kahekili,7,Montipora capitata,2003,3.84
Kahekili,7,Montipora flabellata,2003,0
Kahekili,7,Montipora patula,2003,0.8
Kahekili,7,Pocillopora meandrina,2003,0.213333333
Kahekili,7,Porites compressa,2003,2.56
Kahekili,7,Porites lobata,2003,16.25333333
Molokini,8,Montipora capitata,2003,23.10252101
Molokini,8,Montipora flabellata,2003,0.013333333
Molokini,8,Montipora patula,2003,21.96291317
Molokini,8,Pocillopora meandrina,2003,1.670252101
Molokini,8,Porites compressa,2003,7.094229692
Molokini,8,Porites lobata,2003,19.37221289
Molokini,13,Montipora capitata,2003,51.44784314
Molokini,13,Montipora flabellata,2003,0
Molokini,13,Montipora patula,2003,34.31137255
Molokini,13,Pocillopora meandrina,2003,0.887058824
Molokini,13,Porites compressa,2003,1.349019608
Molokini,13,Porites lobata,2003,2.900392157
Olowalu,3,Montipora capitata,2003,4.96
Olowalu,3,Montipora flabellata,2003,0
Olowalu,3,Montipora patula,2003,1.84
Olowalu,3,Pocillopora meandrina,2003,1.226666667
Olowalu,3,Porites compressa,2003,2.213333333
Olowalu,3,Porites lobata,2003,5.093333333
Olowalu,7,Montipora capitata,2003,22.08
Olowalu,7,Montipora flabellata,2003,0
Olowalu,7,Montipora patula,2003,12.58666667
Olowalu,7,Pocillopora meandrina,2003,1.386666667
Olowalu,7,Porites compressa,2003,0.266666667
Olowalu,7,Porites lobata,2003,14.37333333
Papaula Pt.,10,Montipora capitata,2003,8.473015873
Papaula Pt.,10,Montipora flabellata,2003,40.87407407
Papaula Pt.,10,Montipora patula,2003,3.443386243
Papaula Pt.,10,Pocillopora meandrina,2003,0.459259259
Papaula Pt.,10,Porites compressa,2003,0.42962963
Papaula Pt.,10,Porites lobata,2003,4.486772487
Puamana,3,Montipora capitata,2003,0.213333333
Puamana,3,Montipora flabellata,2003,0
Puamana,3,Montipora patula,2003,0
Puamana,3,Pocillopora meandrina,2003,2.48
Puamana,3,Porites compressa,2003,0
Puamana,3,Porites lobata,2003,6.106666667
Honolua North,3,Montipora capitata,2004,1.574545455
Honolua North,3,Montipora flabellata,2004,1.498181818
Honolua North,3,Montipora patula,2004,0.472727273
Honolua North,3,Pocillopora meandrina,2004,0.276363636
Honolua North,3,Porites compressa,2004,0.338181818
Honolua North,3,Porites lobata,2004,5.109090909
Honolua South,3,Montipora capitata,2004,2.869090909
Honolua South,3,Montipora flabellata,2004,9.259393939
Honolua South,3,Montipora patula,2004,4.526060606
Honolua South,3,Pocillopora meandrina,2004,0.818989899
Honolua South,3,Porites compressa,2004,0
Honolua South,3,Porites lobata,2004,4.53979798
Kahekili,3,Montipora capitata,2004,4.26969697
Kahekili,3,Montipora flabellata,2004,0
Kahekili,3,Montipora patula,2004,3.924475524
Kahekili,3,Pocillopora meandrina,2004,0.905827506
Kahekili,3,Porites compressa,2004,1.276223776
Kahekili,3,Porites lobata,2004,24.7027972
Kahekili,7,Montipora capitata,2004,4.218787879
Kahekili,7,Montipora flabellata,2004,0
Kahekili,7,Montipora patula,2004,0.604242424
Kahekili,7,Pocillopora meandrina,2004,0.284848485
Kahekili,7,Porites compressa,2004,1.633333333
Kahekili,7,Porites lobata,2004,22.10060606
Molokini,8,Montipora capitata,2004,19.47272727
Molokini,8,Montipora flabellata,2004,0
Molokini,8,Montipora patula,2004,16.32424242
Molokini,8,Pocillopora meandrina,2004,2.36969697
Molokini,8,Porites compressa,2004,2.327272727
Molokini,8,Porites lobata,2004,23.26363636
Molokini,13,Montipora capitata,2004,49.41212121
Molokini,13,Montipora flabellata,2004,0.1
Molokini,13,Montipora patula,2004,29.30909091
Molokini,13,Pocillopora meandrina,2004,1.293939394
Molokini,13,Porites compressa,2004,0.072727273
Molokini,13,Porites lobata,2004,3.121212121
Olowalu,3,Montipora capitata,2004,7.52
Olowalu,3,Montipora flabellata,2004,0
Olowalu,3,Montipora patula,2004,2.6
Olowalu,3,Pocillopora meandrina,2004,0.44
Olowalu,3,Porites compressa,2004,0.2
Olowalu,3,Porites lobata,2004,9.52
Olowalu,7,Montipora capitata,2004,19.58909091
Olowalu,7,Montipora flabellata,2004,0.16
Olowalu,7,Montipora patula,2004,12.73818182
Olowalu,7,Pocillopora meandrina,2004,1.010909091
Olowalu,7,Porites compressa,2004,0
Olowalu,7,Porites lobata,2004,18.20727273
Papaula Pt.,10,Montipora capitata,2004,8.772727273
Papaula Pt.,10,Montipora flabellata,2004,33.05151515
Papaula Pt.,10,Montipora patula,2004,2.476363636
Papaula Pt.,10,Pocillopora meandrina,2004,0.906060606
Papaula Pt.,10,Porites compressa,2004,0.427272727
Papaula Pt.,10,Porites lobata,2004,4.221212121
Puamana,3,Montipora capitata,2004,0.156363636
Puamana,3,Montipora flabellata,2004,0
Puamana,3,Montipora patula,2004,0.08
